StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Zone,StationName
KA002,2018-05-03,44.58,,5.02,34.25,19.73,,0.49,5.83,46.69,0.23,0.36,,98.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-04,113.31,,3.72,26.78,15.31,,0.72,6.65,45.87,0.28,0.44,,73.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-05,62.35,,3.63,33.46,18.36,,0.51,4.22,38.61,0.28,0.44,,144.0,Moderate,Residential,BTM Layout
KA002,2018-05-06,79.0,,3.35,24.55,14.04,,0.64,5.71,44.38,0.24,0.38,,99.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-07,56.78,,28.39,60.58,50.29,,0.78,5.1,36.48,0.47,0.74,,151.0,Moderate,Residential,BTM Layout
KA002,2018-05-08,52.32,,4.95,33.39,19.2,,0.52,6.24,32.43,0.47,0.74,,97.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-09,34.65,,3.82,27.7,15.92,,0.37,5.64,52.6,0.15,0.23,,87.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-10,30.08,,6.84,27.51,17.96,,0.48,5.32,41.46,0.09,0.15,,78.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-11,22.0,,7.84,39.99,24.91,,0.5,5.58,24.19,0.25,0.4,,62.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-12,29.1,,3.38,24.22,13.89,,0.61,4.33,39.45,0.19,0.3,,66.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-13,28.67,,3.42,26.31,14.95,,0.48,5.76,46.78,0.13,0.21,,65.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-14,37.36,,5.95,47.07,26.96,,0.6,7.1,37.5,0.41,0.65,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-15,40.8,,7.74,41.15,25.41,,0.55,6.35,44.59,0.37,0.58,,75.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-16,38.63,,5.28,34.6,20.37,,0.47,6.26,29.15,0.31,0.49,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-17,44.14,,3.42,24.0,13.81,,0.64,5.16,41.75,0.13,0.21,,76.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-18,53.05,,21.74,44.26,36.94,,0.57,4.04,35.22,0.3,0.48,,86.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-19,50.55,,18.75,49.56,37.49,,0.79,4.11,42.52,0.71,1.13,,97.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-20,57.58,,3.13,22.18,12.67,,0.63,5.35,47.98,0.11,0.17,,97.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-21,41.95,,13.75,45.58,32.05,,0.61,4.7,36.12,0.29,0.46,,78.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-22,44.76,,5.89,52.76,29.69,,0.68,4.12,41.2,0.48,0.77,,81.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-23,66.32,,5.56,48.8,27.5,,0.58,5.76,30.74,0.51,0.8,,125.0,Moderate,Residential,BTM Layout
KA002,2018-05-24,37.16,,6.54,50.04,28.84,,0.58,6.53,34.78,0.57,0.91,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-25,54.07,,5.37,36.9,21.56,,0.66,6.07,27.78,0.48,0.76,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-26,37.37,,7.75,36.11,22.94,,0.71,4.78,22.6,0.27,0.43,,88.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-27,40.21,,3.84,21.19,12.72,,0.56,4.4,23.43,0.2,0.31,,90.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-28,29.16,,3.06,13.34,8.35,,0.92,5.52,31.68,0.09,0.14,,104.0,Moderate,Residential,BTM Layout
KA002,2018-05-29,22.88,,3.97,12.51,8.62,,0.79,4.66,30.58,0.03,0.05,,85.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-30,62.05,,9.32,37.55,26.11,,0.55,4.94,23.16,0.22,0.34,,79.0,Satisfactory,Residential,BTM Layout
KA002,2018-05-31,52.0,,5.44,26.9,16.72,,0.79,4.68,23.74,0.24,0.39,,123.0,Moderate,Residential,BTM Layout
KA002,2018-06-01,68.03,,9.97,33.76,23.09,,0.48,4.78,25.78,0.32,0.51,,96.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-02,77.11,,11.33,51.96,33.25,,0.59,5.06,25.08,0.5,0.8,,133.0,Moderate,Residential,BTM Layout
KA002,2018-06-03,66.62,,4.34,29.32,16.92,,0.82,4.88,29.14,0.19,0.31,,183.0,Moderate,Residential,BTM Layout
KA002,2018-06-04,39.85,,6.85,24.28,16.52,,0.62,5.16,20.53,0.16,0.25,,91.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-05,35.91,,5.76,17.8,12.51,,0.46,5.53,17.17,0.13,0.2,,83.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-06,34.48,,6.78,20.52,14.62,,0.51,5.36,19.71,0.13,0.21,,60.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-07,42.73,,5.35,10.47,8.65,,0.46,6.93,17.0,0.06,0.09,,89.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-08,29.82,,4.7,9.18,7.54,,0.29,8.36,16.71,0.07,0.12,,61.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-09,28.75,,5.82,11.61,9.56,,0.53,6.24,20.51,0.1,0.16,,56.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-10,39.21,,4.71,6.58,6.24,,0.46,5.92,15.33,0.0,0.01,,67.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-11,33.89,,6.88,14.31,11.67,,0.48,5.31,11.94,0.1,0.15,,79.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-12,32.32,,4.76,5.14,5.27,,0.55,6.41,13.87,0.05,0.08,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-13,33.14,,6.03,12.08,9.92,,0.4,6.4,13.4,0.05,0.08,,54.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-14,36.2,,5.45,16.53,11.02,,0.67,6.38,15.1,0.23,0.37,,75.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-17,21.1,,3.53,14.23,8.89,,1.07,8.5,17.06,0.17,0.27,,81.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-21,12.75,,5.72,24.43,13.05,,0.98,6.48,26.8,0.25,0.39,,91.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-22,18.62,,26.95,91.09,62.65,,0.97,6.05,24.92,0.24,0.38,,65.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-23,18.18,,17.9,53.77,33.33,,1.07,5.69,16.86,0.42,0.67,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-24,23.94,,3.05,13.91,8.62,,1.17,5.98,18.78,0.01,0.01,,75.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-25,139.92,,5.9,19.58,10.92,,1.06,6.05,14.35,0.14,0.22,,160.0,Moderate,Residential,BTM Layout
KA002,2018-06-26,48.93,,4.59,18.37,11.46,,1.1,6.95,18.21,0.05,0.08,,217.0,Poor,Residential,BTM Layout
KA002,2018-06-27,5.75,,4.65,20.49,12.23,,1.17,7.21,18.78,0.11,0.18,,86.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-28,4.52,,10.8,30.66,21.52,,1.08,6.29,17.42,0.26,0.42,,76.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-29,6.77,,11.59,24.97,16.03,,1.09,6.63,21.36,0.27,0.44,,65.0,Satisfactory,Residential,BTM Layout
KA002,2018-06-30,8.31,,77.95,92.61,74.55,,1.4,7.19,19.31,0.72,1.14,,104.0,Moderate,Residential,BTM Layout
KA002,2018-07-01,12.08,,150.49,105.46,119.35,,1.02,6.5,20.61,0.15,0.23,,137.0,Moderate,Residential,BTM Layout
KA002,2018-07-02,15.25,,97.97,102.38,83.76,,1.17,13.81,19.03,0.44,0.7,,94.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-03,21.84,,155.1,143.66,110.19,,1.11,8.26,18.17,0.35,0.55,,118.0,Moderate,Residential,BTM Layout
KA002,2018-07-04,17.73,,,,,,0.94,6.77,16.73,0.35,0.56,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-05,20.06,,,,,,0.88,6.51,18.18,0.47,0.75,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-06,21.44,,,,,,1.02,9.07,17.35,0.21,0.34,,78.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-07,19.0,,,,,,1.07,6.1,19.43,0.2,0.32,,79.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-08,13.93,,,,,,2.12,5.37,16.57,0.03,0.05,,104.0,Moderate,Residential,BTM Layout
KA002,2018-07-09,28.79,,,,,,1.08,5.6,14.78,0.2,0.32,,107.0,Moderate,Residential,BTM Layout
KA002,2018-07-10,28.07,,,,,,1.2,5.11,17.37,0.32,0.51,,87.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-11,19.58,,,,,,1.19,6.01,17.63,0.18,0.29,,86.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-12,26.69,,,,,,0.88,11.29,19.34,0.16,0.26,,85.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-13,15.58,,,,,,1.24,5.84,21.03,0.25,0.4,,85.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-14,23.91,,,,,,1.17,6.58,17.57,0.21,0.33,,75.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-15,17.04,,,,,,1.31,5.56,20.22,0.02,0.04,,95.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-16,42.32,,,,,,1.21,5.52,17.04,0.14,0.23,,92.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-17,13.09,,24.17,53.74,29.63,,1.55,6.53,20.94,0.24,0.38,,113.0,Moderate,Residential,BTM Layout
KA002,2018-07-18,34.9,,4.0,9.1,7.09,,0.65,3.19,20.84,,,,150.0,Moderate,Residential,BTM Layout
KA002,2018-07-19,6.44,,4.13,9.37,7.31,,1.04,2.0,22.27,,,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-20,3.22,,4.05,9.2,7.17,,0.5,2.8,25.21,0.0,0.0,,52.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-21,3.07,,4.14,9.38,7.32,,0.86,2.89,23.08,,,,71.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-22,5.61,,4.04,9.18,7.15,,0.5,3.44,22.51,,,,56.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-23,8.86,,4.18,9.47,7.39,,0.9,3.02,16.39,,,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-24,5.16,,4.1,9.31,7.26,,1.63,2.65,15.74,,,,77.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-25,7.89,,4.14,9.38,7.32,,0.89,2.48,15.62,,,,107.0,Moderate,Residential,BTM Layout
KA002,2018-07-26,15.46,,4.06,9.23,7.19,,0.69,2.35,16.78,,,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-27,25.06,,4.07,9.25,7.21,,0.86,2.06,17.89,1.78,2.23,,77.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-28,13.75,,4.1,9.31,7.26,,0.6,1.31,18.03,0.49,0.62,,64.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-29,16.73,,4.07,9.25,7.21,,0.78,1.67,17.51,0.52,0.65,,84.0,Satisfactory,Residential,BTM Layout
KA002,2018-07-30,32.13,,4.35,11.43,8.39,,1.31,2.24,16.27,1.61,2.01,,120.0,Moderate,Residential,BTM Layout
KA002,2018-07-31,13.45,,3.25,9.63,6.45,,0.67,2.62,18.91,0.34,0.42,,76.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-01,20.39,,3.45,10.93,7.23,,0.67,2.72,17.93,0.78,0.98,,55.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-02,13.94,,3.33,9.15,6.27,,0.59,2.75,17.22,0.56,0.7,,56.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-03,29.92,,3.65,10.44,7.15,,0.87,2.52,14.66,5.53,6.92,,85.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-04,21.62,,4.0,12.15,8.21,,1.06,1.67,12.01,1.35,1.68,,90.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-05,18.51,,3.65,10.45,7.14,,0.7,2.86,15.79,0.29,0.36,,73.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-06,24.79,,5.38,14.62,10.49,,0.79,2.52,16.81,1.09,1.36,,78.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-07,17.02,,3.7,10.34,7.13,,0.77,3.43,16.53,0.65,0.81,,79.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-08,16.93,,8.38,11.19,11.06,,1.2,4.58,11.96,1.05,1.31,,89.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-09,11.72,,3.87,10.45,7.3,,0.69,2.66,13.92,0.98,1.22,,40.0,Good,Residential,BTM Layout
KA002,2018-08-12,5.49,,8.04,13.0,8.84,,0.57,4.08,14.93,0.54,0.68,,50.0,Good,Residential,BTM Layout
KA002,2018-08-13,8.29,,4.86,11.78,13.28,,0.52,4.53,14.59,0.6,0.76,,37.0,Good,Residential,BTM Layout
KA002,2018-08-14,4.97,,4.35,11.55,15.89,,0.52,4.11,13.71,0.94,1.17,,34.0,Good,Residential,BTM Layout
KA002,2018-08-15,13.43,,3.54,9.53,13.07,,0.55,4.07,14.69,0.63,0.79,,37.0,Good,Residential,BTM Layout
KA002,2018-08-16,7.5,,3.89,11.33,15.1,,0.48,4.5,20.19,0.43,0.54,,38.0,Good,Residential,BTM Layout
KA002,2018-08-17,13.6,,4.0,9.73,13.73,,0.6,6.15,19.3,0.85,1.06,,36.0,Good,Residential,BTM Layout
KA002,2018-08-18,13.24,,4.44,9.9,14.34,,0.51,9.94,18.04,0.19,0.24,,39.0,Good,Residential,BTM Layout
KA002,2018-08-19,11.78,,4.8,10.9,15.7,,0.54,10.19,19.76,0.48,0.59,,42.0,Good,Residential,BTM Layout
KA002,2018-08-20,11.9,,6.65,12.49,18.18,,0.54,9.67,19.29,0.85,1.06,,35.0,Good,Residential,BTM Layout
KA002,2018-08-21,11.82,,4.72,10.62,15.34,,0.56,9.4,20.39,1.01,1.26,,40.0,Good,Residential,BTM Layout
KA002,2018-08-22,11.49,,4.59,10.48,15.07,,0.48,9.9,19.87,0.53,0.67,,36.0,Good,Residential,BTM Layout
KA002,2018-08-23,12.29,,4.84,11.37,16.21,,0.49,9.87,15.5,0.45,0.56,,40.0,Good,Residential,BTM Layout
KA002,2018-08-24,11.94,,4.92,11.81,16.74,,0.56,9.44,15.65,0.76,0.94,,33.0,Good,Residential,BTM Layout
KA002,2018-08-25,12.21,,5.04,12.34,17.33,,0.47,9.6,13.39,0.89,1.12,,36.0,Good,Residential,BTM Layout
KA002,2018-08-26,12.13,,4.5,10.46,14.96,,1.53,10.0,15.91,0.05,0.06,,59.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-27,11.99,,4.85,11.23,16.08,,0.58,10.06,13.28,0.52,0.65,,74.0,Satisfactory,Residential,BTM Layout
KA002,2018-08-28,12.21,,4.77,10.87,15.64,,0.56,9.97,13.62,0.0,0.0,,36.0,Good,Residential,BTM Layout
KA002,2018-08-29,11.7,,4.62,9.63,14.26,,1.09,9.88,12.75,0.16,0.2,,101.0,Moderate,Residential,BTM Layout
KA002,2018-08-30,11.91,,4.17,6.8,10.96,,0.57,9.68,12.4,0.0,0.0,,63.0,Satisfactory,Residential,BTM Layout
